ZZX Massive Bitcoin Exchange / P2P Catalog
=========================================

coinbase                     | Coinbase                             | exchange             | enabled
currency_com                 | Currency.com                         | exchange             | candidate
bitbay                       | BitBay                               | exchange             | candidate
coinsquare                   | Coinsquare                           | exchange             | candidate
ndax                         | NDAX                                 | exchange             | candidate
newton                       | Newton                               | exchange             | candidate
bitbuy                       | Bitbuy                               | exchange             | candidate
virgocx                      | VirgoCX                              | exchange             | candidate
bull_bitcoin                 | Bull Bitcoin                         | exchange             | candidate
shakepay                     | Shakepay                             | exchange             | candidate
coinberry                    | Coinberry                            | exchange             | candidate
river                        | River                                | exchange             | candidate
strike                       | Strike                               | exchange             | candidate
cash_app                     | Cash App Bitcoin                     | exchange             | candidate
robinhood_crypto             | Robinhood Crypto                     | exchange             | candidate
fidelity_crypto              | Fidelity Crypto                      | exchange             | candidate
etoro                        | eToro                                | exchange             | candidate
public_com                   | Public.com Crypto                    | exchange             | candidate
paxos                        | Paxos                                | exchange             | candidate
itbit                        | itBit                                | exchange             | candidate
bakkt                        | Bakkt                                | exchange             | candidate
bullish                      | Bullish                              | exchange             | candidate
bitmart                      | BitMart                              | exchange             | candidate
ascendex                     | AscendEX                             | exchange             | candidate
phemex                       | Phemex                               | exchange             | candidate
bingx                        | BingX                                | exchange             | candidate
coinex                       | CoinEx                               | exchange             | candidate
digifinex                    | DigiFinex                            | exchange             | candidate
latoken                      | LATOKEN                              | exchange             | candidate
xt_com                       | XT.COM                               | exchange             | candidate
lbank                        | LBank                                | exchange             | candidate
bitrue                       | Bitrue                               | exchange             | candidate
bitrue_spot                  | Bitrue Spot                          | exchange             | candidate
deepcoin                     | Deepcoin                             | exchange             | candidate
tapbit                       | Tapbit                               | exchange             | candidate
coinw                        | CoinW                                | exchange             | candidate
pionex                       | Pionex                               | exchange             | candidate
weex                         | WEEX                                 | exchange             | candidate
blofin                       | BloFin                               | exchange             | candidate
bitvenus                     | BitVenus                             | exchange             | candidate
bigone                       | BigONE                               | exchange             | candidate
poloniex                     | Poloniex                             | exchange             | candidate
probit_global                | ProBit Global                        | exchange             | candidate
cointr                       | CoinTR                               | exchange             | candidate
btcturk                      | BtcTurk                              | exchange             | candidate
paribu                       | Paribu                               | exchange             | candidate
bitlo                        | Bitlo                                | exchange             | candidate
coinzo                       | Coinzo                               | exchange             | candidate
wazirx                       | WazirX                               | exchange             | candidate
coindcx                      | CoinDCX                              | exchange             | candidate
zebpay                       | ZebPay                               | exchange             | candidate
unocoin                      | Unocoin                              | exchange             | candidate
bitbns                       | Bitbns                               | exchange             | candidate
giottus                      | Giottus                              | exchange             | candidate
mudrex                       | Mudrex                               | exchange             | candidate
coinswitch                   | CoinSwitch                           | exchange             | candidate
suncrypto                    | SunCrypto                            | exchange             | candidate
flitpay                      | Flitpay                              | exchange             | candidate
bitkub                       | Bitkub                               | exchange             | candidate
satang                       | Satang Pro                           | exchange             | candidate
coins_th                     | Coins.co.th                          | exchange             | candidate
coins_ph                     | Coins.ph                             | exchange             | candidate
pdax                         | PDAX                                 | exchange             | candidate
coins_pro                    | Coins Pro                            | exchange             | candidate
indodax                      | Indodax                              | exchange             | candidate
tokocrypto                   | Tokocrypto                           | exchange             | candidate
pintu                        | Pintu                                | exchange             | candidate
reku                         | Reku                                 | exchange             | candidate
triv                         | Triv                                 | exchange             | candidate
zipmex                       | Zipmex                               | exchange             | candidate
coinhako                     | Coinhako                             | exchange             | candidate
independent_reserve_sg       | Independent Reserve Singapore        | exchange             | candidate
crypto_sg                    | Crypto.com Singapore                 | exchange             | candidate
luno_my                      | Luno Malaysia                        | exchange             | candidate
sinegy                       | SINEGY                               | exchange             | candidate
mx_global                    | MX Global                            | exchange             | candidate
hata                         | Hata                                 | exchange             | candidate
tokenize_xchange             | Tokenize Xchange                     | exchange             | candidate
korbit_global                | Korbit Global                        | exchange             | candidate
bitopro                      | BitoPro                              | exchange             | candidate
maicoin                      | MaiCoin                              | exchange             | candidate
max_exchange                 | MAX Exchange                         | exchange             | candidate
ace_exchange                 | ACE Exchange                         | exchange             | candidate
hashkey_exchange             | HashKey Exchange                     | exchange             | candidate
osl                          | OSL                                  | exchange             | candidate
coinsuper                    | CoinSuper                            | exchange             | candidate
rain                         | Rain                                 | exchange             | candidate
coinmena                     | CoinMENA                             | exchange             | candidate
bitoasis                     | BitOasis                             | exchange             | candidate
bahrain_bourse_crypto        | Bahrain Crypto Market                | exchange             | candidate
valr                         | VALR                                 | exchange             | candidate
luno_za                      | Luno South Africa                    | exchange             | candidate
altcointrader                | AltCoinTrader                        | exchange             | candidate
ovex                         | OVEX                                 | exchange             | candidate
ice3x                        | ICE3X                                | exchange             | candidate
yellow_card                  | Yellow Card                          | exchange             | candidate
quidax                       | Quidax                               | exchange             | candidate
bundle_africa                | Bundle Africa                        | exchange             | candidate
busha                        | Busha                                | exchange             | candidate
roqqu                        | Roqqu                                | exchange             | candidate
nobitex                      | Nobitex                              | exchange             | candidate
wallex_ir                    | Wallex Iran                          | exchange             | candidate
ramzinex                     | Ramzinex                             | exchange             | candidate
exir                         | EXIR                                 | exchange             | candidate
tabdeal                      | Tabdeal                              | exchange             | candidate
bitpin                       | Bitpin                               | exchange             | candidate
coinmama                     | Coinmama                             | exchange             | candidate
changelly_pro                | Changelly PRO                        | exchange             | candidate
changehero                   | ChangeHero                           | exchange             | candidate
simplex                      | Simplex                              | exchange             | candidate
moonpay                      | MoonPay                              | exchange             | candidate
banxa                        | Banxa                                | exchange             | candidate
transak                      | Transak                              | exchange             | candidate
ramp_network                 | Ramp Network                         | exchange             | candidate
mercuryo                     | Mercuryo                             | exchange             | candidate
bisq                         | Bisq                                 | p2p-bitcoin-market   | candidate
bisq2                        | Bisq 2                               | p2p-bitcoin-market   | candidate
hodlhodl                     | Hodl Hodl                            | p2p-bitcoin-market   | candidate
peach_bitcoin                | Peach Bitcoin                        | p2p-bitcoin-market   | candidate
robosats                     | RoboSats                             | p2p-bitcoin-market   | candidate
vexl                         | Vexl                                 | p2p-bitcoin-market   | candidate
mostro                       | Mostro                               | p2p-bitcoin-market   | candidate
lnp2pbot                     | LNP2PBot                             | p2p-bitcoin-market   | candidate
localcoinswap                | LocalCoinSwap                        | p2p-bitcoin-market   | candidate
paxful                       | Paxful                               | p2p-bitcoin-market   | candidate
noones                       | NoOnes                               | p2p-bitcoin-market   | candidate
bitvalve                     | BitValve                             | p2p-bitcoin-market   | candidate
agoradesk                    | AgoraDesk                            | p2p-bitcoin-market   | candidate
localcryptos                 | LocalCryptos                         | p2p-bitcoin-market   | candidate
localbitcoins                | LocalBitcoins                        | p2p-bitcoin-market   | candidate
